"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"101735574","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",4
"101713286","MODELO NEGRA 12PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",2
"102756894","CORONA EX 3.2 12PK BT","EXTENDED MASTER ON-PREMISE","RESTAURANT NA","ON",132
"100963764","MODELO ESP 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",2
"101403842","CORONA EX 18PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",23.25
"102159390","MODELO ESP 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",49
"101760049","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",7
"103561247","MODELO ESP 3.2 6PK BT","EXTENDED MASTER OFF-PREMISE","ETHNIC MARKETS","OFF",13
"200321115","MODELO CHE TAMPIC 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",10
"200321115","MODELO ESP 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",30
"101404100","CORONA EX 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",53
"107218024","MODELO ESP 3.2 12PK CAN","DRUG","CONVENTIONAL DRUG","OFF",2
"100091971","MODELO ESP 3.2 12PK CAN","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",22
"107336153","CORONA EX 3.2 6PK BT","GROCERY","SUPERMARKET-NATURAL/GOURMET FOODS","OFF",8
"100440613","MODELO ESP 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",1
"100091615","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",4
"100269334","VICTORIA 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",0
"200696010","MODELO CHELADA 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",1
"102054995","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",113.3318
"103827391","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",108
"107436908","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",345.75
"100768119","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",49
"107310240","CORONITA 3.2 7OZ 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",2.9165
"101000533","MODELO NEGRA 1/2 BL KEG","LIQUOR","CONVENTIONAL LIQUOR","OFF",6.8889
"101000533","PACIFICO 24OZ CAN LSE","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"103841064","MODELO NEGRA 12PK BT","DINING","CASUAL DINING","ON",2
"101403976","CORONA LT 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",26
"101920136","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",19
"103797533","CORONA LT 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",27
"107368968","MODELO ESP 1/2 BL","BAR/NIGHTCLUB","SPORTS BAR","ON",82.6668
"107368968","CORONA LT 12PK BT","BAR/NIGHTCLUB","SPORTS BAR","ON",1
"301737993","CORONA EX 18PK BT","BAR/NIGHTCLUB","SPORTS BAR","ON",0.75
"202024367","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",118.5
"102608300","CERVEZAS CLASICAS 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"101403663","CORONA EX 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",4
"101404037","CORONA EX 16OZ 6PK CAN","LIQUOR","LIQUOR SUPER STORE","OFF",10.6664
"101404035","CORONITA 7OZ 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",8.1667
"201000292","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",46
"201000541","VICTORIA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1
"100495778","MODELO CHELADA 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",27
"101403910","CORONA LT 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",3
"201671608","CORONITA 7OZ 24PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",4.6666
"201437184","MODELO ESP 3.2 24OZ CAN","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",4
"107492647","CORONA EX 24PK BT","DINING","CASUAL DINING","ON",27
"100090956","CORONA EX 3.2 12PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",49
"101491008","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",96
"101404011","CORONA FAMILIAR 32OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",1.3333
"100941411","CORONITA 3.2 7OZ 6PK BT","GROCERY","SUPERCENTER","OFF",4.6666
"101860457","VICTORIA 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",6
"101694009","CORONITA 7OZ 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",0.5833
"100316533","CORONA LT 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",50
"101737955","PACIFICO 12PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",34
"101403966","MODELO ESP 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",137
"100766580","CORONA EX 24OZ BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",52
"101793748","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",13
"103766853","MODELO ESP 12PK BT","DINING","CASUAL DINING","ON",2
"101737278","MODELO ESP 1/4 KEG","DINING","CASUAL DINING","ON",55.111
"200642127","MODELO ESP 3.2 6PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",10
"100242749","CORONA LT 6PK BT","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",12
"100242749","CORONA EX 24PK CAN","GROCERY","SUPERMARKET-CONVENTIONAL","OFF",4
"201403648","CORONA LT 12PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",28
"101403674","CORONA EX 18PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",141
"101930350","CORONA EX 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",38
"101616886","MODELO ESP 24PK CAN","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",2
