"ITEM_MASTER_SKU_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"CORONA EX 3.2 12PK BT","OFF",45995.5
"CORONA LT 12PK BT","OFF",33109
"MODELO ESP 3.2 12PK CAN","OFF",28163.5
"CORONA EX 3.2 6PK BT","OFF",27858.7501
"MODELO CHELADA 24OZ CAN","OFF",16521.75
"CORONA EX 3.2 18PK BT","OFF",14881.2917
"CORONA LT 6PK BT","OFF",14808
"MODELO ESP 3.2 12PK BT","OFF",14168.5
"MODELO ESP 3.2 18PK CAN","OFF",12896.25
"MODELO ESP 3.2 6PK BT","OFF",12309.75
"VICTORIA 12PK BT","OFF",12161
"CORONA LT 18PK BT","OFF",11530.5
"CORONA LT 24PK BT","OFF",8987
"MODELO ESP 3.2 24OZ CAN","OFF",7442.5833
"CORONA LT 12PK CAN","OFF",6757
"CORONITA 3.2 7OZ 6PK BT","OFF",6008.1501
"CORONA EX 3.2 6PK BT","ON",5450.75
"VICTORIA 6PK BT","OFF",4239
"CORONA EX 3.2 12PK BT","ON",4050
"CORONA LT 3.2 12PK BT","OFF",3859
"CORONA LT 18PK BT","ON",3046.5
"MODELO ESP 3.2 6PK BT","ON",3033.6667
"CORONA LIGHT 1/2 BL KEG","OFF",2721.1151
"MODELO ESP 3.2 12PK BT","ON",2720
"VICTORIA 12PK CAN","OFF",2261
"CORONA EX 3.2 24OZ BT","OFF",2228.5
"CORONA LIGHT 1/2 BL KEG","ON",1501.7801
"MODELO ESP 3.2 12PK CAN","ON",1430
"MODELO ESP 3.2 24OZ CAN","ON",906
"MODELO CHE TAMPIC 3.2 24OZ CAN","OFF",729
"CORONA LT 24PK BT","ON",621
"CORONA EX 3.2 24OZ BT","ON",444
"CORONA LT 12PK BT","ON",439
"MODELO CHELADA 24OZ CAN","ON",416
"CORONA LIGHT 1/4 BL KEG","ON",347.8846
"CORONA LIGHT 1/4 BL KEG","OFF",268.6636
"MODELO ESP 3.2 18PK CAN","ON",263.25
"VICTORIA 12PK BT","ON",188
"CORONA EX 3.2 18PK BT","ON",187.5
"CORONA LT 3.2 12PK BT","ON",176.5
"VICTORIA 12PK BT","NR",148
"CORONA LT 12PK CAN","ON",138
"CORONA LT 6PK BT","ON",126
"CORONITA 3.2 7OZ 6PK BT","ON",113.7495
"CORONA LT 12PK CAN","NR",105
"VICTORIA 6PK BT","ON",101
"VICTORIA 6PK BT","NR",97
"VICTORIA 12PK CAN","ON",48
"MODELO CHE TAMPIC 3.2 24OZ CAN","ON",43
"VICTORIA 12PK CAN","NR",20
"CORONA LT 24PK BT","NR",5
"MODELO CHELADA 24OZ CAN","NR",4
"CORONA LT 12PK BT","NR",2
"CORONA LT 18PK BT","NR",1.5
"MODELO CHE TAMPIC 3.2 24OZ CAN","NR",1
"CORONA LT 6PK BT","NR",1
