,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
0,107027552,74.5,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.9437,0.0103,0.0081,0.0195,0.0041,0.0061,0.0093,0.0101,0.0389,0.1374,0.1115,0.1085,0.0981,0.2116,0.1275,0.1665,0.0234,0.059000000000000004,0.0578,0.0593,0.0712,0.0527,0.0431,0.0231,0.0486,0.0518,0.0589,0.0753,0.0581,0.0576,0.002473748022242663,1,107027552,NonLowPoint
1,201650423,311.2502,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.8233,0.0051,0.0065,0.1577,0.0274,0.0505,0.0799,0.0028,0.0195,0.051,0.083,0.1771,0.151,0.1516,0.1809,0.1858,0.0271,0.06,0.0613,0.0693,0.0638,0.0475,0.0307,0.0202,0.0463,0.054000000000000006,0.0624,0.0649,0.0459,0.0381,0.010441915900005316,1,201650423,NonLowPoint
2,100766228,614.75,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.7785,0.0523,0.0719,0.0742,0.0117,0.0222,0.0402,0.0191,0.0586,0.0578,0.0788,0.0896,0.0857,0.1857,0.1175,0.3263,0.0793,0.1064,0.0599,0.040999999999999995,0.0466,0.0339,0.0198,0.0638,0.0854,0.0565,0.0429,0.0522,0.0372,0.0258,0.020656637396618157,1,100766228,NonLowPoint
3,100558459,41.0,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,False,False,0.6504,0.1406,0.0332,0.1328,0.0238,0.0385,0.0706,0.0336,0.0597,0.0908,0.1168,0.1475,0.182,0.2088,0.0969,0.0975,0.0658,0.1124,0.055999999999999994,0.0433,0.0409,0.0252,0.0169,0.0491,0.0823,0.0514,0.0386,0.0413,0.0278,0.0231,0.0013462574270708373,0,,LowPoint
4,101633764,125.25,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.9537,0.0015,0.001,0.015,0.0029,0.0039,0.0082,0.0164,0.0397,0.1176,0.1365,0.1115,0.0907,0.2318,0.1257,0.1465,0.0206,0.049,0.0545,0.0586,0.0851,0.0633,0.0424,0.0199,0.0536,0.0463,0.0577,0.084,0.0638,0.0577,0.004181812132838789,1,101633764,NonLowPoint
5,101403874,371.6383,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.77,0.1241,0.0207,0.0623,0.0117,0.0192,0.0314,0.0175,0.065,0.0819,0.0913,0.1023,0.0934,0.1785,0.1288,0.2588,0.0226,0.0622,0.0661,0.0592,0.0639,0.0437,0.0238,0.0218,0.0632,0.068,0.0606,0.0683,0.0499,0.038,0.012474364103297728,1,101403874,NonLowPoint
6,103969402,68.0,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.93,0.0064,0.006,0.0324,0.0059,0.0104,0.0162,0.0112,0.0516,0.0949,0.1001,0.1082,0.1079,0.1987,0.1281,0.2104,0.0299,0.0541,0.055,0.0636,0.0685,0.0656,0.0375,0.0247,0.0507,0.0479,0.0637,0.0671,0.0607,0.0424,0.002254981190343652,1,103969402,NonLowPoint
7,301403953,379.333,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.2945,0.4291,0.0389,0.2148,0.0574,0.0723,0.0852,0.0185,0.1572,0.1746,0.1401,0.1178,0.1024,0.1475,0.0781,0.0823,0.0253,0.0741,0.0606,0.0558,0.0564,0.0312,0.0187,0.0265,0.0766,0.0625,0.0564,0.0571,0.0383,0.0304,0.012733340278899778,1,301403953,NonLowPoint
8,103925699,120.4997,LIQUOR,CONVENTIONAL LIQUOR,True,True,0.8713,0.0277,0.0164,0.0669,0.0121,0.0236,0.0313,0.0136,0.0303,0.0635,0.08900000000000001,0.1046,0.1072,0.1939,0.1615,0.2499,0.0244,0.0547,0.0548,0.0574,0.0761,0.0474,0.0444,0.0259,0.0538,0.0502,0.0598,0.0706,0.0502,0.0516,0.004021933966443424,1,103925699,NonLowPoint
9,103849226,42.5,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,False,False,0.8356,0.0586,0.0269,0.055999999999999994,0.0097,0.0164,0.0299,0.0158,0.0336,0.0589,0.0825,0.0959,0.0869,0.2083,0.1428,0.2912,0.0211,0.0646,0.0604,0.0551,0.0598,0.046,0.034,0.0225,0.0684,0.0628,0.0617,0.0733,0.0594,0.0514,0.0013967420805859937,0,,LowPoint
