,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
0,101914477,4.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,False,False,0.9009,0.0147,0.0065,0.0529,0.01,0.0125,0.0304,0.0143,0.0311,0.0849,0.1062,0.1034,0.08800000000000001,0.2357,0.1413,0.2094,0.0263,0.0675,0.0589,0.0538,0.0613,0.0415,0.0285,0.0251,0.0676,0.0624,0.0578,0.0648,0.046,0.0433,0.0011243730625538555,0,,LowPoint
1,103707016,36.5,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,VARIED MENU,True,True,0.7495,0.0968,0.0631,0.0668,0.0133,0.0179,0.0356,0.0175,0.0422,0.063,0.0753,0.0824,0.0817,0.17800000000000002,0.1363,0.3411,0.0278,0.063,0.0595,0.061,0.0632,0.0405,0.0228,0.0268,0.0641,0.0622,0.0644,0.0676,0.0435,0.0318,0.012368103688092408,1,103707016,NonLowPoint
2,101930302,5.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,False,False,0.8433,0.0436,0.008,0.051,0.0101,0.0161,0.0248,0.0291,0.0694,0.1163,0.1109,0.1127,0.1006,0.2034,0.1343,0.1523,0.025,0.0576,0.053,0.059000000000000004,0.0694,0.0519,0.0328,0.0224,0.0561,0.0551,0.0613,0.0715,0.0577,0.0472,0.0014703340048781185,0,,LowPoint
3,101943225,2.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.9453,0.0098,0.0035,0.0202,0.0043,0.0064,0.0095,0.0134,0.0557,0.0722,0.07400000000000001,0.087,0.0812,0.2011,0.1344,0.2943,0.0237,0.0547,0.0593,0.064,0.0661,0.0435,0.0283,0.0223,0.0527,0.0614,0.0694,0.0696,0.0473,0.0435,0.00043245117790532896,1,,LowPoint
4,107487797,117.97200000000001,BAR/NIGHTCLUB,SPORTS BAR,AMERICAN,True,True,0.7901,0.0996,0.0231,0.0655,0.0116,0.02,0.0339,0.0151,0.0475,0.0632,0.0707,0.0774,0.0716,0.1633,0.1528,0.3535,0.0243,0.0557,0.0648,0.0651,0.0638,0.0414,0.0207,0.023,0.0575,0.0688,0.0657,0.0663,0.0462,0.0314,0.04055423358113478,1,107487797,NonLowPoint
5,101942239,5.5833,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.7473,0.0604,0.036000000000000004,0.1355,0.0272,0.0479,0.0605,0.0164,0.0253,0.0536,0.0762,0.0844,0.0873,0.1739,0.1643,0.3351,0.0239,0.0715,0.0801,0.0667,0.0507,0.0294,0.0135,0.0228,0.0688,0.0782,0.0654,0.0539,0.035,0.021,0.0016721330225358613,1,101942239,NonLowPoint
6,105527649,113.0,DINING,CASUAL DINING,AMERICAN,True,False,0.8239,0.0548,0.0497,0.0543,0.0107,0.0159,0.0278,0.0147,0.0271,0.0444,0.065,0.0767,0.0706,0.1821,0.1383,0.3959,0.0224,0.0705,0.0648,0.0589,0.0646,0.0469,0.0333,0.0222,0.0691,0.0631,0.0634,0.0774,0.0561,0.0505,0.03883411577589854,2,105527649,NonLowPoint
7,101616940,163.02700000000002,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.8054,0.0575,0.0564,0.061,0.0117,0.0184,0.0309,0.0171,0.0241,0.0426,0.064,0.0721,0.0767,0.1863,0.1435,0.3907,0.0232,0.0778,0.0686,0.0618,0.0631,0.0418,0.0235,0.023,0.0765,0.0672,0.0665,0.0745,0.0507,0.0359,0.056141503837554466,1,101616940,NonLowPoint
8,101942243,257.0,DINING,CASUAL DINING,MEXICAN,False,False,0.3325,0.2559,0.0505,0.3399,0.0906,0.1135,0.1358,0.017,0.1448,0.1522,0.1408,0.1275,0.1108,0.1567,0.0798,0.0875,0.0255,0.0877,0.0701,0.0586,0.0526,0.0284,0.0149,0.026000000000000002,0.0808,0.0655,0.0542,0.0505,0.0321,0.0232,0.08865249147059244,0,,LowPoint
9,107492647,33.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8055,0.0415,0.1013,0.0339,0.0061,0.01,0.0177,0.0154,0.0196,0.0259,0.0433,0.0496,0.0516,0.1447,0.1318,0.5334,0.0259,0.0585,0.0601,0.0713,0.0656,0.0398,0.0221,0.0254,0.06,0.0642,0.0771,0.0728,0.0433,0.0316,0.011157240389957487,1,107492647,NonLowPoint
10,301947510,2.0,DINING,CASUAL DINING,PIZZA,False,False,0.8143,0.0443,0.0864,0.0377,0.0071,0.0111,0.0195,0.015,0.0222,0.0312,0.0508,0.0589,0.059000000000000004,0.155,0.1338,0.4891,0.0248,0.0622,0.0605,0.067,0.0669,0.0436,0.0263,0.0245,0.0633,0.0624,0.073,0.0769,0.0487,0.0385,0.00043245117790532896,0,,LowPoint
11,101970850,1.0,DINING,FAST CASUAL,AMERICAN,False,False,0.7825,0.0557,0.0489,0.0925,0.0176,0.0321,0.0428,0.0167,0.02,0.0423,0.059000000000000004,0.0667,0.0717,0.1661,0.1558,0.4184,0.0244,0.0664,0.0766,0.0686,0.054000000000000006,0.0307,0.0133,0.0234,0.0664,0.0771,0.0695,0.0578,0.0352,0.02,8.649023558106577e-05,0,,LowPoint
12,101979140,320.25,BAR/NIGHTCLUB,IRISH PUB,OTHER,True,True,0.6027,0.1663,0.0535,0.1455,0.0317,0.0433,0.0705,0.0231,0.0819,0.1148,0.1202,0.1213,0.1118,0.1873,0.1038,0.1588,0.024,0.0809,0.065,0.0529,0.0543,0.0341,0.0221,0.0244,0.0814,0.0651,0.0538,0.06,0.0406,0.0335,0.11053452107260209,1,101979140,NonLowPoint
13,201938138,12.0,DINING,FAST CASUAL,MEXICAN,True,True,0.9066,0.0,0.0028,0.0353,0.0066,0.0093,0.0194,0.0415,0.0449,0.1109,0.1335,0.1432,0.138,0.2576,0.1088,0.0629,0.0237,0.0484,0.0437,0.0657,0.0757,0.0656,0.0492,0.0242,0.0394,0.0394,0.0736,0.0769,0.0639,0.0508,0.0038920606011479614,1,,LowPoint
14,107500041,5.0,DINING,CASUAL DINING,VARIED MENU,True,False,0.7972,0.0464,0.0511,0.0584,0.0115,0.0183,0.0286,0.0257,0.0859,0.1197,0.1226,0.1052,0.085,0.1955,0.10400000000000001,0.1821,0.0795,0.1009,0.0674,0.0461,0.042,0.028999999999999998,0.0153,0.0731,0.0859,0.0636,0.047,0.0482,0.0329,0.0225,0.0014703340048781185,2,107500041,NonLowPoint
15,107294788,47.0552,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,True,True,0.5886,0.1337,0.033,0.2073,0.0514,0.0689,0.087,0.0245,0.1093,0.1442,0.1396,0.1305,0.1131,0.1781,0.0883,0.09699999999999999,0.0233,0.0827,0.0681,0.0588,0.0578,0.0342,0.0192,0.0232,0.0809,0.0637,0.0543,0.0571,0.0362,0.0291,0.016019790626513472,1,107294788,NonLowPoint
16,100621301,48.0,DINING,CASUAL DINING,MEXICAN,True,True,0.8532,0.0,0.0039,0.1292,0.023,0.0457,0.0605,0.0059,0.0387,0.1047,0.0963,0.1377,0.1023,0.256,0.1653,0.0991,0.0231,0.0676,0.0607,0.0561,0.0634,0.0504,0.0374,0.0225,0.0589,0.0466,0.0524,0.0648,0.0602,0.0501,0.01634665452482144,1,,LowPoint
17,201609932,8.0,DINING,FAST CASUAL,PIZZA,False,False,0.4302,0.03,0.0236,0.5042,0.0911,0.1965,0.2166,0.008,0.0445,0.0816,0.1008,0.1102,0.0965,0.2354,0.1599,0.1711,0.0298,0.0777,0.0672,0.0619,0.0509,0.0282,0.0158,0.0271,0.0699,0.0612,0.055,0.0498,0.0302,0.0243,0.002508216831850908,0,,LowPoint
18,101733314,9.0,DINING,CASUAL DINING,STEAK,True,True,0.675,0.1572,0.0329,0.114,0.026000000000000002,0.0361,0.0519,0.0166,0.0513,0.0793,0.0888,0.0926,0.0872,0.1881,0.1373,0.2754,0.0243,0.0691,0.0669,0.0619,0.0611,0.0383,0.0213,0.0243,0.0701,0.0678,0.064,0.0667,0.0446,0.0316,0.0028541777741751713,1,,LowPoint
