STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT
102440246,,ON PREMISE,DINING,FAST CASUAL,MEXICAN,UNKNOWN,Y,N,Y,Y,Y,N,0.688,0.1775,0.0266,0.0867,0.0184,0.0287,0.0396,0.0165,0.0367,0.0713,0.0793,0.0849,0.0812,0.1932,0.1491,0.3042,0.0251,0.0586,0.0644,0.0631,0.0625,0.0386,0.0208,0.0248,0.0614,0.0677,0.0667,0.0683,0.0446,0.0307
102137482,,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,UNKNOWN,N,N,Y,Y,Y,N,0.8054,0.0381,0.0281,0.0988,0.0202,0.0299,0.0487,0.0203,0.0497,0.0827,0.1026,0.1107,0.0961,0.2189,0.1445,0.1948,0.0257,0.0772,0.0635,0.057,0.062,0.0401,0.0252,0.0262,0.0769,0.0611,0.0572,0.0651,0.0462,0.0367
101739463,,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,UNKNOWN,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107507929,,ON PREMISE,DINING,CASUAL DINING,ETHNIC,UNKNOWN,N,N,Y,Y,Y,N,0.7782,0.0522,0.0687,0.0751,0.0144,0.0227,0.038,0.0218,0.1205,0.1081,0.116,0.1067,0.0977,0.1666,0.0987,0.1858,0.1335,0.1141,0.0545,0.0313,0.0324,0.0225,0.0132,0.107,0.0838,0.0494,0.031,0.0362,0.0247,0.0199
103714966,,ON PREMISE,DINING,CASUAL DINING,ASIAN,UNKNOWN,N,N,Y,Y,Y,N,0.753,0.0603,0.0376,0.128,0.0258,0.0452,0.057,0.0168,0.0249,0.051,0.0741,0.0819,0.0856,0.1766,0.1684,0.3376,0.0245,0.0701,0.0787,0.0671,0.0516,0.0299,0.0134,0.0235,0.0675,0.0774,0.0666,0.0552,0.0355,0.0212
101824342,,OFF PREMISE,CONVENIENCE STORE,GAS STATION/KIOSK,OTHER,UNKNOWN,Y,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107302312,,ON PREMISE,RECREATION,PRIVATE CLUB,OTHER,UNKNOWN,Y,Y,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101734255,,ON PREMISE,BAR/NIGHTCLUB,SPORTS BAR,AMERICAN,UNKNOWN,N,N,Y,Y,Y,N,0.7786,0.0798,0.0193,0.0939,0.018,0.0283,0.0476,0.0196,0.0544,0.0856,0.1021,0.1035,0.089,0.1954,0.1349,0.2352,0.023,0.0652,0.0607,0.0565,0.0607,0.0441,0.0295,0.0234,0.0687,0.0619,0.0599,0.0707,0.0521,0.0456
101735023,,ON PREMISE,RECREATION,BILLIARD/BOWLING/ARCADE,AMERICAN,UNKNOWN,N,N,Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101943121,,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101733524,,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201738549,,ON PREMISE,DINING,CASUAL DINING,AMERICAN,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,N,N,0.9182,0.0089,0.0133,0.0345,0.0049,0.0102,0.0194,0.0152,0.0203,0.0488,0.0591,0.0742,0.0856,0.2003,0.1798,0.3318,0.0288,0.0597,0.0583,0.0608,0.0659,0.0407,0.0244,0.0272,0.0589,0.0608,0.065,0.0698,0.0444,0.0331
