"RTL_STORE_CD","BEERTYPE"
"100339437","NonLowPoint"
"301733352","NonLowPoint"
"100549491","NonLowPoint"
"105527649","NonLowPoint"
"101732175","NonLowPoint"
"103969402","NonLowPoint"
"101952988","NonLowPoint"
"101403976","NonLowPoint"
"101779698","NonLowPoint"
"201739419","NonLowPoint"
"201469318","NonLowPoint"
"101403772","NonLowPoint"
"101530898","NonLowPoint"
"101403894","NonLowPoint"
"301946056","NonLowPoint"
"101917098","NonLowPoint"
"101403908","NonLowPoint"
"101403782","NonLowPoint"
"100764173","NonLowPoint"
"105542908","NonLowPoint"
"102018423","NonLowPoint"
"101404040","NonLowPoint"
"201620502","NonLowPoint"
"101000273","NonLowPoint"
"101403864","NonLowPoint"
"101733804","NonLowPoint"
"100765180","NonLowPoint"
"107183591","NonLowPoint"
"101922137","NonLowPoint"
"107432291","NonLowPoint"
"401955784","NonLowPoint"
"100766023","NonLowPoint"
"103401512","NonLowPoint"
"101404005","NonLowPoint"
"203831598","NonLowPoint"
"103661796","NonLowPoint"
"100766000","NonLowPoint"
"101754744","NonLowPoint"
"100766871","NonLowPoint"
"101000525","NonLowPoint"
"100767483","NonLowPoint"
"101403898","NonLowPoint"
"101735473","NonLowPoint"
"101655995","NonLowPoint"
"101403910","NonLowPoint"
"101403859","NonLowPoint"
"103793475","NonLowPoint"
"101403932","NonLowPoint"
"101403709","NonLowPoint"
"203185560","NonLowPoint"
"101780965","NonLowPoint"
"101621723","NonLowPoint"
"101732293","NonLowPoint"
"102718832","NonLowPoint"
"102201875","NonLowPoint"
"102076668","NonLowPoint"
"101403817","NonLowPoint"
"100764471","NonLowPoint"
"100763902","NonLowPoint"
"107493514","NonLowPoint"
"107436640","NonLowPoint"
"101403659","NonLowPoint"
"101404092","NonLowPoint"
"103710413","NonLowPoint"
"102061273","NonLowPoint"
"101616875","NonLowPoint"
"101403656","NonLowPoint"
"107423930","NonLowPoint"
"201779690","NonLowPoint"
"100768119","NonLowPoint"
"201733468","NonLowPoint"
"101599561","NonLowPoint"
"101759073","NonLowPoint"
"101403959","NonLowPoint"
"102071655","NonLowPoint"
"100767504","NonLowPoint"
"101732151","NonLowPoint"
"101796136","NonLowPoint"
"102241015","NonLowPoint"
"101735448","NonLowPoint"
"401804005","NonLowPoint"
"101725265","NonLowPoint"
"101732076","NonLowPoint"
"201883340","NonLowPoint"
"101793171","NonLowPoint"
"201732236","NonLowPoint"
"101404038","NonLowPoint"
"201732069","NonLowPoint"
"301772483","NonLowPoint"
"101403892","NonLowPoint"
"202208327","NonLowPoint"
"101403810","NonLowPoint"
"103382693","NonLowPoint"
"102024374","NonLowPoint"
"101735536","NonLowPoint"
"102015740","NonLowPoint"
"107316525","NonLowPoint"
"100765982","NonLowPoint"
"103841064","NonLowPoint"
"100298840","NonLowPoint"
"207216003","NonLowPoint"
"102028292","NonLowPoint"
"200767400","NonLowPoint"
"102140232","NonLowPoint"
"102002753","NonLowPoint"
"203661796","NonLowPoint"
"101616886","NonLowPoint"
"102581469","NonLowPoint"
