"RTL_STORE_CD","ITEM_MASTER_SKU_DSC","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"102798460","CORONA EX 6PK BT","DINING","POLISHED CASUAL","ON",3
"103923027","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",46
"104034535","MODELO NEGRA 6PK BT","DINING","CASUAL DINING","ON",3
"105647006","CORONA LT 6PK BT","DINING","CASUAL DINING","ON",8
"101425811","MODELO NEGRA 12PK BT","LIQUOR","LIQUOR SUPER STORE","OFF",25
"101425811","CORONA EX 24OZ CAN LSE","LIQUOR","LIQUOR SUPER STORE","OFF",1
"100187799","MODELO ESP 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",46
"200763598","MODELO ESP 12PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",30
"105524853","CORONA EX 6PK BT","DINING","CASUAL DINING","ON",22
"103902339","MODELO ESP 24PK CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",300
"107266757","MODELO NEGRA 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",4
"107266757","PACIFICO 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"100702391","CORONA EX 3.2 12PK BT","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","OFF",13
"105646726","CORONA EX 6PK BT","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","ON",16
"101425627","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",4
"101779667","MODELO CHELADA 24OZ CAN","LIQUOR","CONVENTIONAL LIQUOR","OFF",2
"107335504","PACIFICO 6PK BT","DINING","CASUAL DINING","ON",9
"305645361","CORONA EX 6PK BT","DINING","CASUAL DINING","ON",1
"102014414","CORONITA 7OZ 6PK BT","DINING","CASUAL DINING","ON",9.3329
"100763735","CORONA EX 6PK BT","LIQUOR","CONVENTIONAL LIQUOR","OFF",43
