"ITEM_MASTER_SKU_DSC","RTL_PREMISE_TYPE_CD","WJXBFS1"
"CORONA LT 12PK BT","OFF",76928.4547
"CORONA EX 3.2 12PK BT","OFF",32214.7482
"VICTORIA 12PK BT","OFF",27590.0393
"MODELO ESP 3.2 12PK CAN","OFF",24590.9568
"CORONA LT 24PK BT","OFF",19021
"CORONA LT 6PK BT","OFF",17655.7486
"CORONA EX 3.2 6PK BT","OFF",16234.9561
"MODELO CHELADA 24OZ CAN","OFF",11516.7518
"CORONA LT 6PK BT","ON",11153
"CORONA LT 12PK CAN","OFF",10367.7907
"CORONA LT 18PK BT","OFF",7573.5
"VICTORIA 6PK BT","OFF",5278.6659
"CORONA LIGHT 1/2 BL KEG","ON",5125.3413
"MODELO ESP 3.2 6PK BT","OFF",5114.2909
"MODELO ESP 3.2 12PK BT","OFF",3643.8749
"VICTORIA 6PK BT","ON",3563.125
"VICTORIA 12PK CAN","OFF",3012.4996
"CORONA LT 12PK BT","ON",2427
"CORONA EX 3.2 24OZ BT","OFF",2021.7501
"VICTORIA 12PK BT","ON",1752
"MODELO ESP 3.2 18PK CAN","OFF",1667.25
"CORONA EX 3.2 12PK BT","ON",1369
"MODELO ESP 3.2 24OZ CAN","OFF",1343
"MODELO CHE TAMPIC 3.2 24OZ CAN","OFF",1294.3335
"CORONA EX 3.2 6PK BT","ON",1186
"CORONA LT 3.2 12PK BT","OFF",1105.6247
"MODELO ESP 3.2 12PK CAN","ON",1014
"CORONA EX 3.2 18PK BT","OFF",815.25
"CORONA LT 24PK BT","ON",649
"CORONA LIGHT 1/2 BL KEG","OFF",613.1121
"VICTORIA 12PK CAN","ON",437
"CORONA LT 12PK CAN","ON",434.9583
"MODELO ESP 3.2 6PK BT","ON",335
"MODELO CHELADA 24OZ CAN","ON",274
"CORONA LT 12PK BT","NR",120
"MODELO ESP 3.2 24OZ CAN","ON",113
"MODELO CHE TAMPIC 24OZ CAN","OFF",99
"VICTORIA 12PK CAN","NR",81
"CORONA LIGHT 1/4 BL KEG","ON",75.7772
"CORONA LT 3.2 12PK BT","ON",64
"CORONA LT 3.2 6PK BT","OFF",49
"CORONA LT 12PK CAN","NR",45
"CORONA LT 6PK BT","NR",42
"MODELO ESP 3.2 18PK CAN","ON",39
"MODELO ESP 3.2 12PK BT","ON",29
"CORONA LT 18PK BT","ON",22.5
"MODELO CHE TAMPIC 3.2 24OZ CAN","ON",22
"CORONA EX 3.2 12PK BT","NR",21
"CORONA LIGHT 1/2 BL KEG","NR",20.6667
"CORONITA 3.2 7OZ 6PK BT","OFF",15.1667
"CORONA LT 24PK BT","NR",11
"CORONA LIGHT 1/4 BL KEG","OFF",10.3332
"MODELO CHE TAMPIC 24OZ CAN","ON",10
"VICTORIA 6PK BT","NR",9
"MODELO CHELADA 24OZ CAN","NR",8
"CORONA EX 3.2 24OZ BT","ON",8
"CORONA EX 3.2 6PK BT","NR",7
"MODELO CHE TAMPIC 3.2 24OZ CAN","NR",7
"CORONA LT 3.2 6PK BT","ON",5
"CORONA LIGHT 1/4 BL KEG","NR",3.4444
"VICTORIA 12PK BT","NR",3
"MODELO ESP 3.2 6PK BT","NR",1
"MODELO ESP 3.2 12PK CAN","NR",1
"CORONA EX 3.2 24OZ BT","NR",1
"CORONA LT 18PK BT","NR",-2.25
