,STORE_CD,L12M_TY_QTY,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,WINE_FLG,LIQUOR_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT,NORM_L12M_TY_QTY,CLUSTER,RTL_STORE_CD,BEERTYPE
0,103793493,397.8332,DINING,CASUAL DINING,MEXICAN,True,True,0.7596,0.1108,0.0554,0.0474,0.0118,0.0172,0.0185,0.0204,0.0528,0.0711,0.0699,0.0751,0.0796,0.1723,0.1325,0.3466,0.0178,0.1042,0.0746,0.0627,0.0581,0.0354,0.0216,0.0201,0.1052,0.0728,0.0595,0.0599,0.0413,0.0334,0.06899660038162903,0,103793493,NonLowPoint
1,105646503,13.0,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,OTHER,True,True,0.9312,0.0072,0.0114,0.0421,0.0087,0.0138,0.0195,0.0061,0.0253,0.0521,0.0662,0.0741,0.0701,0.19,0.1843,0.33799999999999997,0.0235,0.0555,0.0682,0.0728,0.0658,0.0376,0.024,0.023,0.0546,0.0669,0.0703,0.0619,0.0402,0.0338,0.00215660240055082,0,105646503,NonLowPoint
2,105645328,6.0,DINING,CASUAL DINING,VARIED MENU,True,True,0.7775,0.0035,0.0019,0.0119,0.0026,0.0038,0.0055,0.0166,0.0681,0.0776,0.1093,0.1357,0.1067,0.2266,0.0996,0.1765,0.0217,0.0404,0.0376,0.0522,0.0905,0.1062,0.0501,0.0184,0.0411,0.0345,0.053,0.0845,0.1039,0.0463,0.0009408029688293691,0,105645328,NonLowPoint
3,202252793,330.8054,DINING,CASUAL DINING,MEXICAN,True,True,0.953,0.0062,0.0091,0.024,0.0057,0.0077,0.0105,0.005,0.0398,0.0666,0.0836,0.1075,0.1107,0.2368,0.1355,0.2195,0.0236,0.0629,0.0629,0.0609,0.0629,0.0455,0.0313,0.0239,0.0597,0.0594,0.0636,0.0676,0.053,0.0532,0.05735483450312345,0,202252793,NonLowPoint
4,105649082,28.0,LODGING,FULL SERVICE LODGING,OTHER,True,True,0.9072,0.0204,0.027000000000000003,0.0363,0.0076,0.012,0.0167,0.0073,0.0358,0.0743,0.0843,0.0896,0.0866,0.1944,0.1546,0.2804,0.0237,0.0579,0.0594,0.0628,0.069,0.0456,0.033,0.0229,0.0584,0.0588,0.0626,0.0695,0.0491,0.0463,0.0047618868970967865,0,105649082,NonLowPoint
5,105645038,17.0,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,ASIAN,True,True,0.9625,0.003,0.0049,0.0113,0.0024,0.0037,0.0052,0.009000000000000001,0.0271,0.1071,0.1124,0.0994,0.1068,0.2166,0.1412,0.1895,0.0227,0.0528,0.0595,0.06,0.0788,0.0523,0.0365,0.02,0.0522,0.0595,0.0619,0.07400000000000001,0.0606,0.0521,0.002851344932963078,0,105645038,NonLowPoint
6,102218836,25.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8844,0.0262,0.0213,0.0155,0.0035,0.0049,0.006999999999999999,0.0222,0.102,0.1284,0.1152,0.0954,0.0846,0.1632,0.1122,0.1991,0.0498,0.0876,0.0612,0.0513,0.0604,0.0392,0.0234,0.0438,0.0821,0.057,0.0517,0.0643,0.0447,0.0414,0.004240829997787593,0,102218836,NonLowPoint
7,101803383,200.8889,DINING,CASUAL DINING,AMERICAN,True,True,0.9177,0.0186,0.0263,0.0244,0.0042,0.0079,0.0123,0.0095,0.0107,0.0203,0.0345,0.0463,0.0493,0.1702,0.1704,0.4982,0.023,0.0553,0.0795,0.0763,0.051,0.0256,0.0136,0.0223,0.0576,0.0805,0.0742,0.0493,0.027999999999999997,0.0159,0.03479020495008918,0,101803383,NonLowPoint
8,105647072,43.3332,DINING,CASUAL DINING,AMERICAN,True,True,0.9377,0.0135,0.0259,0.0122,0.0028,0.004,0.0054,0.0084,0.0874,0.1093,0.1055,0.0972,0.0926,0.1828,0.1196,0.2058,0.0652,0.0718,0.0538,0.0519,0.0633,0.0467,0.0298,0.0656,0.0704,0.0486,0.0517,0.065,0.0495,0.0452,0.0074250434465926935,0,105647072,NonLowPoint
9,105647631,6.0,DINING,CASUAL DINING,AMERICAN,True,True,0.8027,0.0998,0.0424,0.0324,0.0074,0.0095,0.0155,0.0185,0.0548,0.052000000000000005,0.071,0.0815,0.0809,0.1784,0.1343,0.3471,0.0221,0.0883,0.0699,0.0611,0.0568,0.0363,0.0149,0.0256,0.0986,0.0729,0.0645,0.0649,0.0433,0.0224,0.0009408029688293691,0,105647631,NonLowPoint
