STORE_CD,L12M_TY_QTY,PREMISE_TYPE_DSC,CHANNEL_DSC,SUBCHANNEL_DSC,FOOD_TYPE_GROUP_DSC,INDUSTRY_VOL_DSC,CHAIN_IND_FLG,FRANCHISE_FLG,BEER_FLG,WINE_FLG,LIQUOR_FLG,FINE_WINE_FLG,WHITE_POP_PCT,BLACK_POP_PCT,ASIAN_POP_PCT,HISP_POP_PCT,LEAST_ACC_HISP_POP_PCT,BI_CULTURAL_HISP_POP_PCT,MOST_ACC_HISP_POP_PCT,OTHER_POP_PCT,INCOME_POP_L10_PCT,INCOME_POP_1020_PCT,INCOME_POP_2030_PCT,INCOME_POP_3040_PCT,INCOME_POP_4050_PCT,INCOME_POP_5075_PCT,INCOME_POP_75100_PCT,INCOME_POP_G100_PCT,MALE_POP_2124_PCT,MALE_POP_2534_PCT,MALE_POP_3544_PCT,MALE_POP_4554_PCT,MALE_POP_5564_PCT,MALE_POP_6574_PCT,MALE_POP_75_PCT,FEMALE_POP_2124_PCT,FEMALE_POP_2534_PCT,FEMALE_POP_3544_PCT,FEMALE_POP_4554_PCT,FEMALE_POP_5564_PCT,FEMALE_POP_6574_PCT,FEMALE_POP_75_PCT
202196323,17,ON PREMISE,RECREATION,THEATER,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,Y,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103793493,397.8332,ON PREMISE,DINING,CASUAL DINING,MEXICAN,MID 30% ON/ MID 60% OFF,N,N,Y,Y,Y,N,0.7596,0.1108,0.0554,0.0474,0.0118,0.0172,0.0185,0.0204,0.0528,0.0711,0.0699,0.0751,0.0796,0.1723,0.1325,0.3466,0.0178,0.1042,0.0746,0.0627,0.0581,0.0354,0.0216,0.0201,0.1052,0.0728,0.0595,0.0599,0.0413,0.0334
105645970,,ON PREMISE,DINING,FINE DINING,ITALIAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.7573,0.0919,0.053,0.0721,0.0194,0.0269,0.0258,0.0179,0.0488,0.0673,0.0709,0.0744,0.076,0.1605,0.1306,0.3715,0.0179,0.0937,0.0743,0.0633,0.0584,0.0364,0.0228,0.0192,0.0942,0.0728,0.0617,0.0621,0.0436,0.0365
103779046,0,OFF PREMISE,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,N,N,N,0.7084,0.1061,0.081,0.0685,0.0176,0.0233,0.0275,0.0248,0.1055,0.1222,0.1006,0.0885,0.0803,0.1625,0.1068,0.2337,0.0654,0.129,0.0784,0.0509,0.0483,0.0305,0.0135,0.0589,0.1088,0.0667,0.042,0.045,0.031,0.0185
105646503,13,ON PREMISE,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,OTHER,TOP 50% ON/ TOP 20% OFF,N,N,Y,Y,Y,N,0.9312,0.0072,0.0114,0.0421,0.0087,0.0138,0.0195,0.0061,0.0253,0.0521,0.0662,0.0741,0.0701,0.19,0.1843,0.338,0.0235,0.0555,0.0682,0.0728,0.0658,0.0376,0.024,0.023,0.0546,0.0669,0.0703,0.0619,0.0402,0.0338
105647501,,ON PREMISE,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.9506,0.004,0.005,0.0316,0.0069,0.0105,0.0141,0.0056,0.0286,0.0633,0.0828,0.0964,0.089,0.2245,0.172,0.2435,0.0229,0.0511,0.0593,0.0744,0.0814,0.056,0.0333,0.0228,0.0488,0.0545,0.0668,0.0734,0.0542,0.0399
102167715,1,ON PREMISE,RECREATION,GOLF/COUNTRY CLUB,OTHER,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105645328,6,ON PREMISE,DINING,CASUAL DINING,VARIED MENU,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,Y,N,0.7775,0.0035,0.0019,0.0119,0.0026,0.0038,0.0055,0.0166,0.0681,0.0776,0.1093,0.1357,0.1067,0.2266,0.0996,0.1765,0.0217,0.0404,0.0376,0.0522,0.0905,0.1062,0.0501,0.0184,0.0411,0.0345,0.053,0.0845,0.1039,0.0463
103564252,,ON PREMISE,DINING,CASUAL DINING,PIZZA,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,N,N,0.7806,0.038,0.0396,0.1301,0.0284,0.0435,0.0581,0.0091,0.0479,0.1311,0.1209,0.1015,0.0927,0.1673,0.1509,0.1878,0.0235,0.0648,0.0638,0.0589,0.0585,0.0411,0.0346,0.0218,0.0632,0.0586,0.0544,0.0577,0.045,0.0592
107328792,,ON PREMISE,DINING,CASUAL DINING,AMERICAN,LOWEST 20% ON/ LOWEST 20% OFF,N,N,Y,Y,N,N,0.8123,0.0716,0.0611,0.0327,0.0081,0.0096,0.015,0.0195,0.0343,0.0709,0.0744,0.0725,0.0641,0.1484,0.1297,0.4057,0.0186,0.0778,0.0652,0.063,0.0612,0.0376,0.0237,0.0217,0.084,0.0698,0.0693,0.0697,0.0458,0.0441
