"RTL_STORE_CD","BEERTYPE"
"101406917","NonLowPoint"
"105648751","NonLowPoint"
"105646951","NonLowPoint"
"101608628","NonLowPoint"
"101406960","NonLowPoint"
"102762112","NonLowPoint"
"101893046","NonLowPoint"
"105645129","NonLowPoint"
"101425693","NonLowPoint"
"105648544","NonLowPoint"
"101913989","NonLowPoint"
"107111623","NonLowPoint"
"101407069","NonLowPoint"
"101425733","NonLowPoint"
"102600317","NonLowPoint"
"101407170","NonLowPoint"
"101425622","NonLowPoint"
"101425712","NonLowPoint"
"205645082","NonLowPoint"
"105645950","NonLowPoint"
"105648509","NonLowPoint"
"105646788","NonLowPoint"
"105645956","NonLowPoint"
"107463624","NonLowPoint"
"101406993","NonLowPoint"
"100752277","NonLowPoint"
"107279995","NonLowPoint"
"101636323","NonLowPoint"
"205645177","NonLowPoint"
"201857348","NonLowPoint"
"201722910","NonLowPoint"
"100765320","NonLowPoint"
"200763653","NonLowPoint"
"104033626","NonLowPoint"
"203665449","NonLowPoint"
"101751234","NonLowPoint"
"105645128","NonLowPoint"
"107444351","NonLowPoint"
"305648947","NonLowPoint"
"107495746","NonLowPoint"
"105647804","NonLowPoint"
"103664334","NonLowPoint"
"105646778","NonLowPoint"
"101406761","NonLowPoint"
"105648053","NonLowPoint"
"105645224","NonLowPoint"
"107485406","NonLowPoint"
"101425848","NonLowPoint"
"105646141","NonLowPoint"
"105647908","NonLowPoint"
"105647195","NonLowPoint"
"305649136","NonLowPoint"
"101426007","NonLowPoint"
"105646248","NonLowPoint"
"105645005","NonLowPoint"
"105647555","NonLowPoint"
"107322955","NonLowPoint"
"205646246","NonLowPoint"
"101804470","NonLowPoint"
"103856599","NonLowPoint"
"102607081","NonLowPoint"
"100517864","NonLowPoint"
"107473722","NonLowPoint"
"105645741","NonLowPoint"
"100763381","NonLowPoint"
"105544392","NonLowPoint"
"105647176","NonLowPoint"
"103865669","NonLowPoint"
"101546452","NonLowPoint"
"105645867","NonLowPoint"
"101698638","NonLowPoint"
"101406762","NonLowPoint"
"105647928","NonLowPoint"
"101453773","NonLowPoint"
"105648469","NonLowPoint"
"102069127","NonLowPoint"
"202159023","NonLowPoint"
"102095519","NonLowPoint"
"102635896","NonLowPoint"
"102433006","NonLowPoint"
"103936169","NonLowPoint"
"105647673","NonLowPoint"
"101640716","NonLowPoint"
"105646687","NonLowPoint"
"207329477","NonLowPoint"
"105647757","NonLowPoint"
"105647948","NonLowPoint"
"201947554","NonLowPoint"
"201940347","NonLowPoint"
"105545896","NonLowPoint"
"105544506","NonLowPoint"
"102450126","NonLowPoint"
"102650872","NonLowPoint"
"100765183","NonLowPoint"
"100764335","NonLowPoint"
"201578916","NonLowPoint"
"105648084","NonLowPoint"
"102291002","NonLowPoint"
"205648571","NonLowPoint"
"205647824","NonLowPoint"
"102021758","NonLowPoint"
"105646106","NonLowPoint"
"101596580","NonLowPoint"
"101407114","NonLowPoint"
"102192142","NonLowPoint"
"105649040","NonLowPoint"
"105646572","NonLowPoint"
"105645826","NonLowPoint"
"107490925","NonLowPoint"
"105648771","NonLowPoint"
"105645051","NonLowPoint"
"102218953","NonLowPoint"
"105646488","NonLowPoint"
"101407008","NonLowPoint"
"101425684","NonLowPoint"
"105647830","NonLowPoint"
"105646674","NonLowPoint"
"101943248","NonLowPoint"
"102634710","NonLowPoint"
"101906761","NonLowPoint"
"105645061","NonLowPoint"
"105645703","NonLowPoint"
"102045683","NonLowPoint"
"105646288","NonLowPoint"
"105647847","NonLowPoint"
"100233632","NonLowPoint"
"100767788","NonLowPoint"
"105645100","NonLowPoint"
"101940179","NonLowPoint"
"105648642","NonLowPoint"
"105646563","NonLowPoint"
"102066886","NonLowPoint"
"102203582","NonLowPoint"
"105645153","NonLowPoint"
"203768066","NonLowPoint"
"105647273","NonLowPoint"
"107420996","NonLowPoint"
"105644692","NonLowPoint"
"105649340","NonLowPoint"
"107505469","NonLowPoint"
"105645746","NonLowPoint"
"202089031","NonLowPoint"
"205646172","NonLowPoint"
"201980596","NonLowPoint"
"101914522","NonLowPoint"
"201616075","NonLowPoint"
"101860444","NonLowPoint"
"105649181","NonLowPoint"
"101819437","NonLowPoint"
"102648179","NonLowPoint"
"105648688","NonLowPoint"
"101425589","NonLowPoint"
"101616666","NonLowPoint"
"105645865","NonLowPoint"
"101425637","NonLowPoint"
"102157746","NonLowPoint"
"105646066","NonLowPoint"
"105648908","NonLowPoint"
"105647722","NonLowPoint"
"101425633","NonLowPoint"
"105645490","NonLowPoint"
"101953867","NonLowPoint"
"105648478","NonLowPoint"
"102050178","NonLowPoint"
"105645920","NonLowPoint"
"105645734","NonLowPoint"
"101406888","NonLowPoint"
"100763245","NonLowPoint"
"100765692","NonLowPoint"
"101581633","NonLowPoint"
"101893326","NonLowPoint"
"205646614","NonLowPoint"
"105525495","NonLowPoint"
"105647485","NonLowPoint"
"103914384","NonLowPoint"
"105646158","NonLowPoint"
"105646285","NonLowPoint"
"205648611","NonLowPoint"
"107405485","NonLowPoint"
"101425764","NonLowPoint"
"107441631","NonLowPoint"
"101406806","NonLowPoint"
"105645496","NonLowPoint"
"105647859","NonLowPoint"
"107271896","NonLowPoint"
"105649271","NonLowPoint"
"100766229","NonLowPoint"
"101616698","NonLowPoint"
"101877479","NonLowPoint"
"105648766","NonLowPoint"
"105544496","NonLowPoint"
"103639757","NonLowPoint"
"105646844","NonLowPoint"
"202135247","NonLowPoint"
"101893254","NonLowPoint"
"101406969","NonLowPoint"
"107018061","NonLowPoint"
"107090346","NonLowPoint"
"107025337","NonLowPoint"
"101635996","NonLowPoint"
"205646109","NonLowPoint"
"105645684","NonLowPoint"
"101406803","NonLowPoint"
"100159580","NonLowPoint"
"101425689","NonLowPoint"
"101706557","NonLowPoint"
"101903213","NonLowPoint"
"100079706","NonLowPoint"
"107282002","NonLowPoint"
"101406919","NonLowPoint"
"103634405","NonLowPoint"
"205646684","NonLowPoint"
"105645381","NonLowPoint"
"102054914","NonLowPoint"
"102053799","NonLowPoint"
"101805154","NonLowPoint"
"305647281","NonLowPoint"
"105645775","NonLowPoint"
"101688870","NonLowPoint"
"105648089","NonLowPoint"
"101760337","NonLowPoint"
"303953412","NonLowPoint"
"101616597","NonLowPoint"
"102046235","NonLowPoint"
"105646063","NonLowPoint"
"101407115","NonLowPoint"
"101821991","NonLowPoint"
"107413319","NonLowPoint"
"105645299","NonLowPoint"
"103842988","NonLowPoint"
"101583977","NonLowPoint"
"101407138","NonLowPoint"
"105646481","NonLowPoint"
"105645534","NonLowPoint"
"101914511","NonLowPoint"
"105648734","NonLowPoint"
"205645080","NonLowPoint"
"205644924","NonLowPoint"
"105649039","NonLowPoint"
"101583426","NonLowPoint"
"105544977","NonLowPoint"
"101616154","NonLowPoint"
"105645856","NonLowPoint"
"100560176","NonLowPoint"
"101406871","NonLowPoint"
"200691138","NonLowPoint"
"101620392","NonLowPoint"
"102689110","NonLowPoint"
"201406981","NonLowPoint"
"205647017","NonLowPoint"
"205646529","NonLowPoint"
"101892629","NonLowPoint"
"101901208","NonLowPoint"
"107525749","NonLowPoint"
"107488823","NonLowPoint"
"102011964","NonLowPoint"
"105649004","NonLowPoint"
"202539198","NonLowPoint"
"101406805","NonLowPoint"
"101906237","NonLowPoint"
"107156537","NonLowPoint"
"107482066","NonLowPoint"
"203619958","NonLowPoint"
"101407171","NonLowPoint"
"103940818","NonLowPoint"
"101989030","NonLowPoint"
"105648069","NonLowPoint"
"105648152","NonLowPoint"
"101907851","NonLowPoint"
"105647286","NonLowPoint"
"102008511","NonLowPoint"
"100879072","NonLowPoint"
"101620389","NonLowPoint"
"105647110","NonLowPoint"
"101638512","NonLowPoint"
"201868915","NonLowPoint"
"102631965","NonLowPoint"
"105647261","NonLowPoint"
"201819464","NonLowPoint"
"105545466","NonLowPoint"
"102147009","NonLowPoint"
"102020848","NonLowPoint"
"102613945","NonLowPoint"
"205645486","NonLowPoint"
"105647409","NonLowPoint"
"101475364","NonLowPoint"
"105647039","NonLowPoint"
"105648380","NonLowPoint"
"105645776","NonLowPoint"
"205646953","NonLowPoint"
"105645493","NonLowPoint"
"107486503","NonLowPoint"
"105648331","NonLowPoint"
"101450514","NonLowPoint"
"105645228","NonLowPoint"
"101543589","NonLowPoint"
"205647739","NonLowPoint"
"101747410","NonLowPoint"
"102609775","NonLowPoint"
"105644998","NonLowPoint"
"205531198","NonLowPoint"
"105647424","NonLowPoint"
"107441694","NonLowPoint"
"105647475","NonLowPoint"
"401620515","NonLowPoint"
"101406955","NonLowPoint"
"101407158","NonLowPoint"
"105645325","NonLowPoint"
"101406893","NonLowPoint"
"102045621","NonLowPoint"
"102288542","NonLowPoint"
"101407100","NonLowPoint"
"101445074","NonLowPoint"
"102648761","NonLowPoint"
"107388050","NonLowPoint"
"105646673","NonLowPoint"
"102150599","NonLowPoint"
"105645512","NonLowPoint"
"101803642","NonLowPoint"
"100079804","NonLowPoint"
"205646340","NonLowPoint"
"107393946","NonLowPoint"
"102139914","NonLowPoint"
"105645731","NonLowPoint"
"101745873","NonLowPoint"
"205647800","NonLowPoint"
"201963933","NonLowPoint"
"101911921","NonLowPoint"
"302048027","NonLowPoint"
"105649251","NonLowPoint"
"202913549","NonLowPoint"
"105648353","NonLowPoint"
"105645272","NonLowPoint"
"105647107","NonLowPoint"
"301930149","NonLowPoint"
"105647863","NonLowPoint"
"102192211","NonLowPoint"
"101790128","NonLowPoint"
"105644855","NonLowPoint"
"105649029","NonLowPoint"
"105645923","NonLowPoint"
"105648054","NonLowPoint"
"101406824","NonLowPoint"
"105645852","NonLowPoint"
"101425686","NonLowPoint"
"102198680","NonLowPoint"
"205647855","NonLowPoint"
"101971228","NonLowPoint"
"105646706","NonLowPoint"
"105645277","NonLowPoint"
"105645585","NonLowPoint"
"400682190","NonLowPoint"
"102169256","NonLowPoint"
"107533234","NonLowPoint"
"101406934","NonLowPoint"
"201407151","NonLowPoint"
"200625189","NonLowPoint"
"202242439","NonLowPoint"
"201924080","NonLowPoint"
"105645974","NonLowPoint"
"105645000","NonLowPoint"
"105645044","NonLowPoint"
"101425560","NonLowPoint"
"107482971","NonLowPoint"
"101453631","NonLowPoint"
"105647188","NonLowPoint"
"201669892","NonLowPoint"
"205649011","NonLowPoint"
"101406867","NonLowPoint"
"203841235","NonLowPoint"
"103729735","NonLowPoint"
"107236571","NonLowPoint"
"101425845","NonLowPoint"
"101640893","NonLowPoint"
"102071247","NonLowPoint"
"105645262","NonLowPoint"
"103933776","NonLowPoint"
"105647852","NonLowPoint"
"103522434","NonLowPoint"
"105645834","NonLowPoint"
"205646200","NonLowPoint"
"101840863","NonLowPoint"
"105648792","NonLowPoint"
"105647272","NonLowPoint"
"105645590","NonLowPoint"
"201980968","NonLowPoint"
"405530692","NonLowPoint"
"102058462","NonLowPoint"
"202016921","NonLowPoint"
"100651220","NonLowPoint"
"105645728","NonLowPoint"
"105648936","NonLowPoint"
"102109220","NonLowPoint"
"101425804","NonLowPoint"
"105648981","NonLowPoint"
"101425885","NonLowPoint"
"105648823","NonLowPoint"
"201940292","NonLowPoint"
"200767075","NonLowPoint"
"105646317","NonLowPoint"
"101407157","NonLowPoint"
"207072235","NonLowPoint"
"103712109","NonLowPoint"
"102132869","NonLowPoint"
"102622028","NonLowPoint"
"107504529","NonLowPoint"
"105646918","NonLowPoint"
"105646135","NonLowPoint"
"205645531","NonLowPoint"
"107272745","NonLowPoint"
"105645108","NonLowPoint"
"107355301","NonLowPoint"
"100977957","NonLowPoint"
"203698817","NonLowPoint"
"201425746","NonLowPoint"
"101425648","NonLowPoint"
"107136800","NonLowPoint"
"100459570","NonLowPoint"
"205648580","NonLowPoint"
"205648573","NonLowPoint"
"105649017","NonLowPoint"
"205645914","NonLowPoint"
"105647367","NonLowPoint"
"105645744","NonLowPoint"
"105645971","NonLowPoint"
"205647784","NonLowPoint"
"101924618","NonLowPoint"
"107517783","NonLowPoint"
"103405304","NonLowPoint"
"105648473","NonLowPoint"
"101425880","NonLowPoint"
"105644906","NonLowPoint"
"105647848","NonLowPoint"
"305647788","NonLowPoint"
"205647957","NonLowPoint"
"205646233","NonLowPoint"
"101616422","NonLowPoint"
"105646504","NonLowPoint"
"107500708","NonLowPoint"
"105647412","NonLowPoint"
"100079979","NonLowPoint"
"101425916","NonLowPoint"
"105648534","NonLowPoint"
"102116821","NonLowPoint"
"103507556","NonLowPoint"
"105645118","NonLowPoint"
"105648221","NonLowPoint"
"107317797","NonLowPoint"
"107098744","NonLowPoint"
"101492280","NonLowPoint"
"201839773","NonLowPoint"
"100369207","NonLowPoint"
"205645322","NonLowPoint"
"101803851","NonLowPoint"
"205649342","NonLowPoint"
"101407030","NonLowPoint"
"101471627","NonLowPoint"
"105647280","NonLowPoint"
"205525716","NonLowPoint"
"102606564","NonLowPoint"
"101581688","NonLowPoint"
"105648729","NonLowPoint"
"101936622","NonLowPoint"
"101616617","NonLowPoint"
"105645016","NonLowPoint"
"107418478","NonLowPoint"
"105645862","NonLowPoint"
"101406988","NonLowPoint"
"201406874","NonLowPoint"
"205646892","NonLowPoint"
"107034984","NonLowPoint"
"107018466","NonLowPoint"
"107405732","NonLowPoint"
"101425942","NonLowPoint"
"205647910","NonLowPoint"
"101751503","NonLowPoint"
"101425619","NonLowPoint"
"105645314","NonLowPoint"
"101930939","NonLowPoint"
"105646830","NonLowPoint"
"105645653","NonLowPoint"
"100308713","NonLowPoint"
"205647535","NonLowPoint"
"105528933","NonLowPoint"
"105646491","NonLowPoint"
"107343590","NonLowPoint"
"105647991","NonLowPoint"
"101638452","NonLowPoint"
"101656068","NonLowPoint"
"105647059","NonLowPoint"
"105646102","NonLowPoint"
"101406863","NonLowPoint"
"105645392","NonLowPoint"
"105644725","NonLowPoint"
"105645613","NonLowPoint"
"105646376","NonLowPoint"
"105649261","NonLowPoint"
"107011964","NonLowPoint"
"102646577","NonLowPoint"
"104000046","NonLowPoint"
"101799753","NonLowPoint"
"107088539","NonLowPoint"
"107341977","NonLowPoint"
"101407116","NonLowPoint"
"105646756","NonLowPoint"
"205647999","NonLowPoint"
"107526888","NonLowPoint"
"105648768","NonLowPoint"
"107080737","NonLowPoint"
"203828210","NonLowPoint"
"200879103","NonLowPoint"
"205648466","NonLowPoint"
"101407056","NonLowPoint"
"105528707","NonLowPoint"
"105648691","NonLowPoint"
"102218907","NonLowPoint"
"101909798","NonLowPoint"
"100763358","NonLowPoint"
"102049904","NonLowPoint"
"105648483","NonLowPoint"
"405646555","NonLowPoint"
"107273254","NonLowPoint"
"205646633","NonLowPoint"
"102608376","NonLowPoint"
"107267289","NonLowPoint"
"101819525","NonLowPoint"
"102339801","NonLowPoint"
"102238256","NonLowPoint"
"305647661","NonLowPoint"
"100768241","NonLowPoint"
"100398004","NonLowPoint"
"207158387","NonLowPoint"
"101814162","NonLowPoint"
"101425547","NonLowPoint"
"102215728","NonLowPoint"
"101795661","NonLowPoint"
"107508378","NonLowPoint"
"102342865","NonLowPoint"
"101616553","NonLowPoint"
"201425883","NonLowPoint"
"105644854","NonLowPoint"
"105645864","NonLowPoint"
"105646889","NonLowPoint"
"105649334","NonLowPoint"
"102043126","NonLowPoint"
"203549386","NonLowPoint"
"102635651","NonLowPoint"
"102052154","NonLowPoint"
"102522477","NonLowPoint"
"201407005","NonLowPoint"
"101903310","NonLowPoint"
"201997291","NonLowPoint"
"102041592","NonLowPoint"
"105645236","NonLowPoint"
"105648894","NonLowPoint"
"105648333","NonLowPoint"
"201982753","NonLowPoint"
"100218754","NonLowPoint"
"101425791","NonLowPoint"
"105649162","NonLowPoint"
"105647987","NonLowPoint"
"105525395","NonLowPoint"
"105646100","NonLowPoint"
"101597570","NonLowPoint"
"101495813","NonLowPoint"
"105648676","NonLowPoint"
"105648364","NonLowPoint"
"105649323","NonLowPoint"
"405647091","NonLowPoint"
"107371297","NonLowPoint"
"107034400","NonLowPoint"
"107407644","NonLowPoint"
"103970031","NonLowPoint"
"203185379","NonLowPoint"
"101622838","NonLowPoint"
"102288779","NonLowPoint"
"105648402","NonLowPoint"
"101979100","NonLowPoint"
"105647708","NonLowPoint"
"103700251","NonLowPoint"
"202580122","NonLowPoint"
"105647468","NonLowPoint"
"105645832","NonLowPoint"
"205647400","NonLowPoint"
"105648804","NonLowPoint"
"202004469","NonLowPoint"
"103874329","NonLowPoint"
"102166689","NonLowPoint"
"101406792","NonLowPoint"
"105647925","NonLowPoint"
"101616077","NonLowPoint"
"101861983","NonLowPoint"
"105646009","NonLowPoint"
"205280894","NonLowPoint"
"100447843","NonLowPoint"
"101584409","NonLowPoint"
"205647674","NonLowPoint"
"205644977","NonLowPoint"
"101979395","NonLowPoint"
"100690662","NonLowPoint"
"103628707","NonLowPoint"
"105647876","NonLowPoint"
"105524802","NonLowPoint"
"105648031","NonLowPoint"
"107330264","NonLowPoint"
"105647766","NonLowPoint"
"105649015","NonLowPoint"
"101407174","NonLowPoint"
"105647435","NonLowPoint"
"101913797","NonLowPoint"
"102007158","NonLowPoint"
"105647348","NonLowPoint"
"101635997","NonLowPoint"
"105647617","NonLowPoint"
"107052741","NonLowPoint"
"105646328","NonLowPoint"
"105648214","NonLowPoint"
"105647027","NonLowPoint"
"101406842","NonLowPoint"
"103974361","NonLowPoint"
"101930953","NonLowPoint"
"105646442","NonLowPoint"
"102286968","NonLowPoint"
"105545932","NonLowPoint"
"101670311","NonLowPoint"
"107243039","NonLowPoint"
"205646763","NonLowPoint"
"105645570","NonLowPoint"
"105647186","NonLowPoint"
"107490653","NonLowPoint"
"105649317","NonLowPoint"
"101882002","NonLowPoint"
"103576531","NonLowPoint"
"107440237","NonLowPoint"
"100765698","NonLowPoint"
"107333221","NonLowPoint"
"103939192","NonLowPoint"
"105647650","NonLowPoint"
"205649159","NonLowPoint"
"101425955","NonLowPoint"
"101495787","NonLowPoint"
"105644852","NonLowPoint"
"105644690","NonLowPoint"
"101406968","NonLowPoint"
"101863284","NonLowPoint"
"107329685","NonLowPoint"
"102135791","NonLowPoint"
"205646169","NonLowPoint"
"101406808","NonLowPoint"
"103746687","NonLowPoint"
"107490660","NonLowPoint"
"105646921","NonLowPoint"
"101453789","NonLowPoint"
"105646167","NonLowPoint"
"105645175","NonLowPoint"
"103841952","NonLowPoint"
"102647915","NonLowPoint"
"105645122","NonLowPoint"
"105546018","NonLowPoint"
"101407172","NonLowPoint"
"105645655","NonLowPoint"
"107529342","NonLowPoint"
"205645721","NonLowPoint"
"107378136","NonLowPoint"
"101425935","NonLowPoint"
"101910553","NonLowPoint"
"205646033","NonLowPoint"
"105647355","NonLowPoint"
"VIP-3743656","NonLowPoint"
"302025857","NonLowPoint"
"201966505","NonLowPoint"
"205530591","NonLowPoint"
"102207877","NonLowPoint"
"105644970","NonLowPoint"
"101785458","NonLowPoint"
"105645347","NonLowPoint"
"105648139","NonLowPoint"
"105645650","NonLowPoint"
